ts,edition,stage,model,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,cost_usd
2026-04-20T17:36:03+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,435,24,0,0,0.001665
2026-04-20T17:36:06+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,732,88,0,0,0.003516
2026-04-20T17:36:09+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,469,65,0,0,0.002382
2026-04-20T17:36:16+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,459,24,0,0,0.001737
2026-04-20T17:36:18+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,721,74,0,0,0.003273
2026-04-20T17:36:20+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,442,24,0,0,0.001686
2026-04-20T17:36:21+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,432,24,0,0,0.001656
2026-04-20T17:36:23+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,689,24,0,0,0.002427
2026-04-20T17:36:24+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,447,24,0,0,0.001701
2026-04-20T17:36:27+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,444,24,0,0,0.001692
2026-04-20T17:36:30+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,409,24,0,0,0.001587
2026-04-20T17:36:31+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,424,24,0,0,0.001632
2026-04-20T17:36:33+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,421,24,0,0,0.001623
2026-04-20T17:36:35+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,680,24,0,0,0.0024
2026-04-20T17:36:37+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,424,24,0,0,0.001632
2026-04-20T17:36:39+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,421,24,0,0,0.001623
2026-04-20T17:36:41+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,683,17,0,0,0.002304
2026-04-20T17:36:43+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,436,24,0,0,0.001668
2026-04-20T17:36:45+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,433,24,0,0,0.001659
2026-04-20T17:36:48+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,398,24,0,0,0.001554
2026-04-20T17:36:49+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,466,24,0,0,0.001758
2026-04-20T17:36:50+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,463,24,0,0,0.001749
2026-04-20T17:36:52+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,758,24,0,0,0.002634
2026-04-20T17:36:53+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,456,24,0,0,0.001728
2026-04-20T17:36:55+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,460,24,0,0,0.00174
2026-04-20T17:36:58+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,727,24,0,0,0.002541
2026-04-20T17:36:59+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,408,24,0,0,0.001584
2026-04-20T17:37:01+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,406,24,0,0,0.001578
2026-04-20T17:37:03+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,371,13,0,0,0.001308
2026-04-20T17:37:06+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,447,24,0,0,0.001701
2026-04-20T17:37:07+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,445,8,0,0,0.001455
2026-04-20T17:37:09+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,410,24,0,0,0.00159
2026-04-20T17:37:12+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,420,24,0,0,0.00162
2026-04-20T17:37:13+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,416,24,0,0,0.001608
2026-04-20T17:37:15+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,381,24,0,0,0.001503
2026-04-20T17:41:18+00:00,bench-classify,bench_classify,claude-haiku-4-5-20251001,3959,865,0,0,0.008284
2026-04-20T17:41:27+00:00,bench-classify,bench_classify,claude-sonnet-4-6,3960,685,0,0,0.022155
2026-04-20T17:41:35+00:00,bench-classify,bench_classify,claude-opus-4-7,4956,742,0,0,0.12999
2026-04-20T17:41:38+00:00,bench-detect,bench_detect,claude-haiku-4-5-20251001,4025,598,0,0,0.007015
2026-04-20T17:41:46+00:00,bench-detect,bench_detect,claude-sonnet-4-6,4026,605,0,0,0.021153
2026-04-20T17:41:53+00:00,bench-detect,bench_detect,claude-opus-4-7,5064,624,0,0,0.12276
2026-04-20T17:42:19+00:00,bench-extract,bench_extract,claude-haiku-4-5-20251001,4390,3919,0,0,0.023985
2026-04-20T17:43:13+00:00,bench-extract,bench_extract,claude-sonnet-4-6,4391,4114,0,0,0.074883
2026-04-20T17:43:35+00:00,bench-extract,bench_extract,claude-opus-4-7,5526,1731,0,0,0.212715
2026-04-20T17:48:10+00:00,bench-classify,bench_classify,claude-haiku-4-5-20251001,3959,865,0,0,0.008284
2026-04-20T17:48:17+00:00,bench-classify,bench_classify,claude-sonnet-4-6,3960,685,0,0,0.022155
2026-04-20T17:48:25+00:00,bench-classify,bench_classify,claude-opus-4-7,4956,742,0,0,0.12999
2026-04-20T17:48:28+00:00,bench-detect,bench_detect,claude-haiku-4-5-20251001,4025,614,0,0,0.007095
2026-04-20T17:48:35+00:00,bench-detect,bench_detect,claude-sonnet-4-6,4026,605,0,0,0.021153
2026-04-20T17:48:41+00:00,bench-detect,bench_detect,claude-opus-4-7,5064,631,0,0,0.123285
2026-04-20T17:49:05+00:00,bench-extract,bench_extract,claude-haiku-4-5-20251001,4390,3824,0,0,0.02351
2026-04-20T17:50:00+00:00,bench-extract,bench_extract,claude-sonnet-4-6,4391,4140,0,0,0.075273
2026-04-20T17:50:23+00:00,bench-extract,bench_extract,claude-opus-4-7,5526,2009,0,0,0.233565
2026-04-20T18:15:26+00:00,adhoc,classify,claude-haiku-4-5-20251001,3922,3210,0,0,0.019972
2026-04-20T18:15:33+00:00,adhoc,extract_base,claude-haiku-4-5-20251001,1542,1016,0,0,0.006622
2026-04-20T18:15:37+00:00,adhoc,extract_validate,claude-sonnet-4-6,910,18,0,0,0.003
2026-04-20T18:15:39+00:00,adhoc,extract_validate,claude-sonnet-4-6,784,18,0,0,0.002622
2026-04-20T18:15:40+00:00,adhoc,extract_validate,claude-sonnet-4-6,819,18,0,0,0.002727
2026-04-20T18:16:26+00:00,2026-W17,generate,claude-opus-4-7,5769,4067,0,2184,0.43251
2026-04-20T18:16:58+00:00,2026-W17,self_review,claude-sonnet-4-6,6134,729,0,0,0.029337
2026-04-20T18:25:45+00:00,adhoc,extract_base,claude-haiku-4-5-20251001,1880,1018,0,0,0.00697
2026-04-20T18:25:48+00:00,adhoc,extract_validate,claude-sonnet-4-6,913,18,0,0,0.003009
2026-04-20T18:25:50+00:00,adhoc,extract_validate,claude-sonnet-4-6,785,18,0,0,0.002625
2026-04-20T18:25:52+00:00,adhoc,extract_validate,claude-sonnet-4-6,818,18,0,0,0.002724
2026-04-20T18:26:40+00:00,2026-W17,generate,claude-opus-4-7,5774,4013,0,2944,0.442785
2026-04-20T18:29:44+00:00,adhoc,extract_base,claude-haiku-4-5-20251001,1880,1020,0,0,0.00698
2026-04-20T18:29:46+00:00,adhoc,extract_validate,claude-sonnet-4-6,916,18,0,0,0.003018
2026-04-20T18:29:48+00:00,adhoc,extract_validate,claude-sonnet-4-6,783,18,0,0,0.002619
2026-04-20T18:29:51+00:00,adhoc,extract_validate,claude-sonnet-4-6,819,18,0,0,0.002727
2026-04-20T18:30:40+00:00,2026-W17,generate,claude-opus-4-7,5777,3803,2944,0,0.376296
2026-04-20T18:31:07+00:00,2026-W17,self_review,claude-sonnet-4-6,5943,756,0,0,0.029169
2026-04-25T15:34:23+00:00,audit-phase1-test,extract_base,claude-haiku-4-5-20251001,1332,374,0,0,0.003202
2026-04-25T15:34:28+00:00,audit-phase1-test,audit_blind,claude-sonnet-4-6,1333,372,0,0,0.009579
2026-04-25T15:40:22+00:00,audit-phase1-test,extract_base,claude-haiku-4-5-20251001,1880,1028,0,0,0.00702
2026-04-25T15:40:36+00:00,audit-phase1-test,audit_blind,claude-sonnet-4-6,1881,1348,0,0,0.025863
2026-04-27T09:44:43+00:00,adhoc,classify,claude-haiku-4-5-20251001,7121,6091,0,0,0.037576
2026-04-27T09:44:49+00:00,adhoc,extract_base,claude-haiku-4-5-20251001,1933,1010,0,0,0.006983
2026-04-27T09:44:50+00:00,adhoc,extract_validate,claude-sonnet-4-6,819,13,0,0,0.002652
2026-04-27T09:44:52+00:00,adhoc,extract_validate,claude-sonnet-4-6,841,13,0,0,0.002718
2026-04-27T09:44:54+00:00,adhoc,extract_validate,claude-sonnet-4-6,908,18,0,0,0.002994
2026-04-27T09:45:06+00:00,2026-w18,audit_blind,claude-sonnet-4-6,1743,1005,0,0,0.020304
2026-04-27T09:46:13+00:00,2026-W18,generate,claude-opus-4-7,13682,5124,0,3143,0.648461
2026-04-27T09:46:46+00:00,2026-W18,self_review,claude-sonnet-4-6,8101,876,0,0,0.037443
2026-04-27T10:29:08+00:00,2026-W18,self_review,claude-sonnet-4-6,8018,711,0,0,0.034719
2026-04-28T20:37:19+00:00,2026-W18,generate,claude-opus-4-7,5981,3647,0,3673,0.432109
2026-04-28T20:38:45+00:00,2026-W18,generate,claude-opus-4-7,5981,3294,3673,0,0.342274
2026-04-28T20:39:54+00:00,2026-W17,generate,claude-opus-4-7,5981,4007,3673,0,0.395749
2026-05-04T07:48:24+00:00,2026-W19,classify,claude-haiku-4-5-20251001,4705,4066,0,0,0.025035
2026-05-04T07:48:28+00:00,2026-W19,extract_base,claude-haiku-4-5-20251001,1778,528,0,0,0.004418
2026-05-04T07:48:30+00:00,2026-W19,extract_validate,claude-sonnet-4-6,1063,68,0,0,0.004209
2026-05-04T07:48:35+00:00,2026-W19,extract_fallback,claude-opus-4-7,1814,528,0,0,0.06681
2026-05-04T07:48:41+00:00,2026-w19,audit_blind,claude-sonnet-4-6,1375,453,0,0,0.01092
2026-05-04T07:49:35+00:00,2026-W19,generate,claude-opus-4-7,8303,4098,0,3673,0.500764
2026-05-04T07:50:04+00:00,2026-W19,self_review,claude-sonnet-4-6,10246,875,0,0,0.043863
2026-05-11T08:25:38+00:00,2026-W20,classify,claude-haiku-4-5-20251001,4878,3978,0,0,0.024768
2026-05-11T08:25:44+00:00,2026-W20,extract_base,claude-haiku-4-5-20251001,2052,999,0,0,0.007047
2026-05-11T08:25:45+00:00,2026-W20,extract_validate,claude-sonnet-4-6,831,18,0,0,0.002763
2026-05-11T08:25:47+00:00,2026-W20,extract_validate,claude-sonnet-4-6,829,18,0,0,0.002757
2026-05-11T08:25:50+00:00,2026-W20,extract_validate,claude-sonnet-4-6,800,18,0,0,0.00267
2026-05-11T08:26:03+00:00,2026-w20,audit_blind,claude-sonnet-4-6,1678,1050,0,0,0.020784
2026-05-11T08:26:55+00:00,2026-W20,generate,claude-opus-4-7,13511,5295,0,5080,0.69504
2026-05-11T08:27:31+00:00,2026-W20,self_review,claude-sonnet-4-6,14972,1222,0,0,0.063246
2026-05-18T08:46:08+00:00,2026-W21,classify,claude-haiku-4-5-20251001,6760,5090,0,0,0.03221
2026-05-18T08:46:22+00:00,2026-W21,extract_base,claude-haiku-4-5-20251001,2781,2721,0,0,0.016386
2026-05-18T08:46:23+00:00,2026-W21,extract_validate,claude-sonnet-4-6,998,13,0,0,0.003189
2026-05-18T08:46:24+00:00,2026-W21,extract_validate,claude-sonnet-4-6,844,18,0,0,0.002802
2026-05-18T08:46:26+00:00,2026-W21,extract_validate,claude-sonnet-4-6,888,18,0,0,0.002934
2026-05-18T08:46:27+00:00,2026-W21,extract_validate,claude-sonnet-4-6,839,18,0,0,0.002787
2026-05-18T08:46:30+00:00,2026-W21,extract_validate,claude-sonnet-4-6,859,71,0,0,0.003642
2026-05-18T08:46:37+00:00,2026-W21,extract_fallback,claude-opus-4-7,1753,444,0,0,0.059595
2026-05-18T08:46:39+00:00,2026-W21,extract_validate,claude-sonnet-4-6,809,18,0,0,0.002697
2026-05-18T08:46:42+00:00,2026-W21,extract_validate,claude-sonnet-4-6,837,126,0,0,0.004401
2026-05-18T08:46:48+00:00,2026-W21,extract_fallback,claude-opus-4-7,1726,447,0,0,0.059415
2026-05-18T08:46:49+00:00,2026-W21,extract_validate,claude-sonnet-4-6,842,18,0,0,0.002796
2026-05-18T08:47:17+00:00,2026-w21,audit_blind,claude-sonnet-4-6,1695,2997,0,1087,0.054116
2026-05-18T08:48:49+00:00,2026-W21,generate,claude-opus-4-7,17000,7384,0,5080,0.90405
2026-05-18T08:49:37+00:00,2026-W21,self_review,claude-sonnet-4-6,16466,1568,0,1196,0.077403
2026-05-25T08:58:31+00:00,2026-W22,classify,claude-haiku-4-5-20251001,6347,4518,0,0,0.028937
2026-05-25T08:58:34+00:00,2026-W22,extract_base,claude-haiku-4-5-20251001,1361,369,0,0,0.003206
2026-05-25T08:58:35+00:00,2026-W22,extract_validate,claude-sonnet-4-6,934,13,0,0,0.002997
2026-05-25T08:58:40+00:00,2026-w22,audit_blind,claude-sonnet-4-6,275,374,0,1087,0.010511
2026-05-25T08:59:59+00:00,2026-W22,generate,claude-opus-4-7,14628,5782,0,5824,0.76227
2026-05-25T09:00:37+00:00,2026-W22,self_review,claude-sonnet-4-6,18328,997,0,1196,0.074424
2026-06-01T10:22:27+00:00,2026-W23,classify,claude-haiku-4-5-20251001,8027,5822,0,0,0.037137
2026-06-01T10:22:34+00:00,2026-W23,extract_base,claude-haiku-4-5-20251001,1818,1231,0,0,0.007973
2026-06-01T10:22:35+00:00,2026-W23,extract_validate,claude-sonnet-4-6,805,13,0,0,0.00261
2026-06-01T10:22:36+00:00,2026-W23,extract_validate,claude-sonnet-4-6,805,13,0,0,0.00261
2026-06-01T10:22:38+00:00,2026-W23,extract_validate,claude-sonnet-4-6,791,18,0,0,0.002643
2026-06-01T10:22:39+00:00,2026-W23,extract_validate,claude-sonnet-4-6,806,18,0,0,0.002688
2026-06-01T10:22:55+00:00,2026-w23,audit_blind,claude-sonnet-4-6,732,1386,0,1087,0.027062
2026-06-01T10:24:16+00:00,2026-W23,generate,claude-opus-4-7,15851,6665,0,5824,0.84684
2026-06-01T10:25:02+00:00,2026-W23,self_review,claude-sonnet-4-6,20237,1167,0,1196,0.082701
2026-06-08T09:24:15+00:00,2026-W24,classify,claude-haiku-4-5-20251001,7473,5558,0,0,0.035263
2026-06-08T09:24:18+00:00,2026-W24,extract_base,claude-haiku-4-5-20251001,1507,349,0,0,0.003252
2026-06-08T09:24:20+00:00,2026-W24,extract_validate,claude-sonnet-4-6,812,13,0,0,0.002631
2026-06-08T09:24:25+00:00,2026-w24,audit_blind,claude-sonnet-4-6,190,325,0,1087,0.009521
2026-06-08T09:25:51+00:00,2026-W24,generate,claude-opus-4-7,19154,7264,0,5824,0.94131
2026-06-08T09:26:40+00:00,2026-W24,self_review,claude-sonnet-4-6,21766,1115,0,1196,0.086508
2026-06-15T10:56:01+00:00,2026-W25,classify,claude-haiku-4-5-20251001,5903,4212,0,0,0.026963
2026-06-15T10:56:05+00:00,2026-W25,extract_base,claude-haiku-4-5-20251001,2015,391,0,0,0.00397
2026-06-15T10:56:08+00:00,2026-W25,extract_validate,claude-sonnet-4-6,793,66,0,0,0.003369
2026-06-15T10:56:09+00:00,2026-W25,extract_fallback,claude-opus-4-7,1695,29,0,0,0.0276
2026-06-15T10:57:29+00:00,2026-W25,generate,claude-opus-4-7,15833,6876,0,5824,0.862395
2026-06-15T10:58:28+00:00,2026-W25,self_review,claude-sonnet-4-6,21253,2048,0,1196,0.098964
2026-06-22T10:44:31+00:00,2026-W26,classify,claude-haiku-4-5-20251001,5740,4340,0,0,0.02744
2026-06-22T10:44:45+00:00,2026-W26,extract_base,claude-haiku-4-5-20251001,3099,2702,0,0,0.016609
2026-06-22T10:44:49+00:00,2026-W26,extract_validate,claude-sonnet-4-6,841,94,0,0,0.003933
2026-06-22T10:44:54+00:00,2026-W26,extract_fallback,claude-opus-4-7,1728,418,0,0,0.05727
2026-06-22T10:44:55+00:00,2026-W26,extract_validate,claude-sonnet-4-6,852,18,0,0,0.002826
2026-06-22T10:44:58+00:00,2026-W26,extract_validate,claude-sonnet-4-6,818,85,0,0,0.003729
2026-06-22T10:45:03+00:00,2026-W26,extract_fallback,claude-opus-4-7,1712,418,0,0,0.05703
2026-06-22T10:45:04+00:00,2026-W26,extract_validate,claude-sonnet-4-6,838,18,0,0,0.002784
2026-06-22T10:45:06+00:00,2026-W26,extract_validate,claude-sonnet-4-6,843,18,0,0,0.002799
2026-06-22T10:45:07+00:00,2026-W26,extract_validate,claude-sonnet-4-6,814,18,0,0,0.002712
2026-06-22T10:45:08+00:00,2026-W26,extract_validate,claude-sonnet-4-6,836,18,0,0,0.002778
2026-06-22T10:45:10+00:00,2026-W26,extract_validate,claude-sonnet-4-6,867,18,0,0,0.002871
2026-06-22T10:45:38+00:00,2026-w26,audit_blind,claude-sonnet-4-6,1576,2774,0,1087,0.050414
2026-06-22T10:47:20+00:00,2026-W26,generate,claude-opus-4-7,17824,8192,0,5824,0.99096
2026-06-22T10:48:07+00:00,2026-W26,self_review,claude-sonnet-4-6,23392,1331,0,1196,0.094626
2026-06-29T09:27:16+00:00,2026-W27,classify,claude-haiku-4-5-20251001,6351,4795,0,0,0.030326
2026-06-29T09:27:29+00:00,2026-W27,extract_base,claude-haiku-4-5-20251001,2694,2600,0,0,0.015694
2026-06-29T09:27:31+00:00,2026-W27,extract_validate,claude-sonnet-4-6,863,18,0,0,0.002859
2026-06-29T09:27:32+00:00,2026-W27,extract_validate,claude-sonnet-4-6,776,18,0,0,0.002598
2026-06-29T09:27:34+00:00,2026-W27,extract_validate,claude-sonnet-4-6,816,92,0,0,0.003828
2026-06-29T09:27:40+00:00,2026-W27,extract_fallback,claude-opus-4-7,1719,402,0,0,0.055935
2026-06-29T09:27:42+00:00,2026-W27,extract_validate,claude-sonnet-4-6,887,18,0,0,0.002931
2026-06-29T09:27:43+00:00,2026-W27,extract_validate,claude-sonnet-4-6,845,18,0,0,0.002805
2026-06-29T09:27:45+00:00,2026-W27,extract_validate,claude-sonnet-4-6,846,18,0,0,0.002808
2026-06-29T09:27:46+00:00,2026-W27,extract_validate,claude-sonnet-4-6,863,18,0,0,0.002859
2026-06-29T09:27:48+00:00,2026-W27,extract_validate,claude-sonnet-4-6,774,18,0,0,0.002592
2026-06-29T09:28:22+00:00,2026-w27,audit_blind,claude-sonnet-4-6,1608,2813,0,1087,0.051095
2026-06-29T09:30:00+00:00,2026-W27,generate,claude-opus-4-7,20058,8016,0,5824,1.01127
2026-06-29T09:30:49+00:00,2026-W27,self_review,claude-sonnet-4-6,24423,1320,0,1196,0.097554
2026-07-06T09:00:42+00:00,2026-W28,classify,claude-haiku-4-5-20251001,5331,3897,0,0,0.024816
2026-07-06T09:00:47+00:00,2026-W28,extract_base,claude-haiku-4-5-20251001,1743,834,0,0,0.005913
2026-07-06T09:00:48+00:00,2026-W28,extract_validate,claude-sonnet-4-6,894,18,0,0,0.002952
2026-07-06T09:00:50+00:00,2026-W28,extract_validate,claude-sonnet-4-6,956,18,0,0,0.003138
2026-07-06T09:01:02+00:00,2026-w28,audit_blind,claude-sonnet-4-6,438,809,0,1087,0.017525
2026-07-06T09:02:11+00:00,2026-W28,generate,claude-opus-4-7,15865,6027,0,5824,0.7992
2026-07-06T09:03:11+00:00,2026-W28,self_review,claude-sonnet-4-6,23359,1268,0,1196,0.093582
2026-07-13T08:18:20+00:00,2026-W29,classify,claude-haiku-4-5-20251001,6624,5070,0,0,0.031974
2026-07-13T08:18:27+00:00,2026-W29,extract_base,claude-haiku-4-5-20251001,1743,1118,0,0,0.007333
2026-07-13T08:18:28+00:00,2026-W29,extract_validate,claude-sonnet-4-6,869,18,0,0,0.002877
2026-07-13T08:18:30+00:00,2026-W29,extract_validate,claude-sonnet-4-6,820,73,0,0,0.003555
2026-07-13T08:18:36+00:00,2026-W29,extract_fallback,claude-opus-4-7,1707,425,0,0,0.05748
2026-07-13T08:18:37+00:00,2026-W29,extract_validate,claude-sonnet-4-6,993,13,0,0,0.003174
2026-07-13T08:18:51+00:00,2026-w29,audit_blind,claude-sonnet-4-6,657,1178,0,1087,0.023717
2026-07-13T08:20:54+00:00,2026-W29,generate,claude-opus-4-7,15957,7412,0,5824,0.904455
2026-07-13T08:21:45+00:00,2026-W29,self_review,claude-sonnet-4-6,23620,1196,0,1196,0.093285
2026-07-20T08:06:48+00:00,2026-W30,classify,claude-haiku-4-5-20251001,6465,4939,0,0,0.03116
2026-07-20T08:07:00+00:00,2026-W30,extract_base,claude-haiku-4-5-20251001,2599,2365,0,0,0.014424
2026-07-20T08:07:01+00:00,2026-W30,extract_validate,claude-sonnet-4-6,925,18,0,0,0.003045
2026-07-20T08:07:02+00:00,2026-W30,extract_validate,claude-sonnet-4-6,729,18,0,0,0.002457
2026-07-20T08:07:04+00:00,2026-W30,extract_validate,claude-sonnet-4-6,846,18,0,0,0.002808
2026-07-20T08:07:07+00:00,2026-W30,extract_validate,claude-sonnet-4-6,786,92,0,0,0.003738
2026-07-20T08:07:11+00:00,2026-W30,extract_fallback,claude-opus-4-7,1684,362,0,0,0.05241
2026-07-20T08:07:14+00:00,2026-W30,extract_validate,claude-sonnet-4-6,923,18,0,0,0.003039
2026-07-20T08:07:15+00:00,2026-W30,extract_validate,claude-sonnet-4-6,814,18,0,0,0.002712
2026-07-20T08:07:18+00:00,2026-W30,extract_validate,claude-sonnet-4-6,870,60,0,0,0.00351
2026-07-20T08:07:24+00:00,2026-W30,extract_fallback,claude-opus-4-7,1750,459,0,0,0.060675
2026-07-20T08:07:53+00:00,2026-w30,audit_blind,claude-sonnet-4-6,1383,2445,0,1087,0.0449
2026-07-20T08:09:41+00:00,2026-W30,generate,claude-opus-4-7,19484,7651,0,5824,0.975285
2026-07-20T08:10:32+00:00,2026-W30,self_review,claude-sonnet-4-6,23231,1373,0,1196,0.094773
